index,distress_dictionary
31,1
227,1
335,1
401,1
460,1
577,1
591,1
599,1
626,1
845,1
949,1
1074,1
1079,1
1263,1
1334,1
1335,1
1358,1
1579,1
1620,1
1747,1
1771,1
1797,1
1885,1
1911,1
1982,1
2046,1
2059,1
2060,1
2066,1
2121,1
2123,1
2162,1
2169,1
2172,1
2182,1
2382,1
2454,1
2553,1
2588,1
2653,1
2845,1
2846,1
2886,1
2944,1
2976,1
2994,1
3050,1
3221,1
3279,1
3317,1
3526,1
3534,1
3554,1
3564,1
3569,1
3571,1
3647,1
3663,1
3811,1
3953,1
3993,1
4078,1
4105,1
4115,1
4157,1
4305,1
4371,1
4441,1
4490,1
4593,1
4633,1
4671,1
4710,1
4736,1
4740,1
4766,1
4837,1
4865,1
4918,1
4979,1
5073,1
5099,1
5101,1
5215,1
5287,1
5376,1
5442,1
5738,1
5818,1
6006,1
6057,1
6287,1
6311,1
6314,1
6352,1
6383,1
6466,1
6640,1
6654,1
6702,1
6783,1
6784,1
6785,1
6899,1
6899,1
6926,1
6926,1
7000,1
7092,1
7125,1
7168,1
7200,1
7265,1
7395,1
7487,1
7516,1
7518,1
7593,1
7635,1
7684,1
7719,1
7724,1
7786,1
7793,1
7938,1
8016,1
8056,1
8057,1
8102,1
8107,1
8170,1
8261,1
8309,1
8362,1
8365,1
8427,1
8450,1
8468,1
8523,1
8523,1
8525,1
8826,1
8840,1
8860,1
8894,1
8920,1
8978,1
9088,1
9161,1
9384,1
9389,1
9403,1
9522,1
9573,1
9606,1
9777,1
9923,1
10131,1
10343,1
10364,1
10404,1
10425,1
10442,1
10526,1
10542,1
10560,1
10831,1
10847,1
10849,1
10883,1
10916,1
11022,1
11022,1
11149,1
11155,1
11161,1
11281,1
11354,1
11464,1
11464,1
11677,1
11705,1
11738,1
11747,1
11988,1
12054,1
12062,1
12166,1
12295,1
12332,1
12438,1
12516,1
12638,1
12661,1
12677,1
13026,1
13028,1
13029,1
13102,1
13285,1
13350,1
13527,1
13565,1
13578,1
13757,1
13842,1
13899,1
13919,1
14029,1
14119,1
14182,1
14273,1
14364,1
14430,1
14438,1
14554,1
14594,1
14594,1
14659,1
14745,1
14801,1
14814,1
14943,1
14996,1
15019,1
15038,1
15260,1
15316,1
15316,1
15318,1
15412,1
15534,1
15831,1
15857,1
16338,1
16338,1
16452,1
16475,1
16499,1
16513,1
16535,1
16667,1
16716,1
16773,1
16789,1
16893,1
16907,1
16929,1
17040,1
17100,1
17147,1
17176,1
17176,1
17204,1
17479,1
17518,1
17522,1
17603,1
17683,1
17816,1
17879,1
17922,1
17983,1
18043,1
18051,1
18124,1
18223,1
18238,1
18312,1
18460,1
18481,1
18508,1
18520,1
18529,1
18611,1
18631,1
18673,1
18716,1
19213,1
19214,1
19244,1
19309,1
19370,1
19402,1
19486,1
19504,1
19610,1
19679,1
19730,1
19765,1
19785,1
19990,1
20045,1
20045,1
20117,1
20126,1
20237,1
20265,1
20731,1
20749,1
20798,1
20877,1
21311,1
21357,1
21447,1
21693,1
21883,1
21923,1
21929,1
21963,1
21966,1
22045,1
22047,1
22047,1
22125,1
22163,1
22163,1
22234,1
22304,1
22305,1
22313,1
22551,1
22557,1
22618,1
22915,1
22981,1
23127,1
23210,1
23442,1
23452,1
23690,1
23722,1
23739,1
23775,1
23817,1
23858,1
23865,1
23881,1
23926,1
24064,1
24070,1
24362,1
24423,1
24600,1
24634,1
24653,1
24755,1
24877,1
24891,1
24957,1
24992,1
25008,1
25094,1
25109,1
25126,1
25142,1
25164,1
25339,1
25576,1
25641,1
25753,1
25818,1
25912,1
26001,1
26137,1
26166,1
26181,1
26308,1
26308,1
26308,1
26308,1
26533,1
26581,1
26750,1
26750,1
26751,1
26868,1
26925,1
27012,1
27013,1
27099,1
27153,1
27163,1
27177,1
27258,1
27396,1
27409,1
27419,1
27432,1
27456,1
27456,1
27486,1
27495,1
27517,1
27538,1
27545,1
27545,1
27547,1
27552,1
27553,1
27555,1
27555,1
27559,1
27566,1
27577,1
27581,1
27583,1
27590,1
27591,1
27598,1
27603,1
27606,1
27606,1
27608,1
27613,1
27616,1
27622,1
27623,1
27627,1
27628,1
27634,1
27636,1
27637,1
27640,1
27641,1
27642,1
27644,1
27679,1
27762,1
27782,1
27892,1
27934,1
27934,1
27984,1
28004,1
28045,1
28057,1
28076,1
28095,1
28132,1
28203,1
28307,1
28387,1
28654,1
28659,1
28755,1
28762,1
28840,1
28840,1
28944,1
28949,1
28978,1
28988,1
29121,1
29145,1
29156,1
29178,1
29359,1
29437,1
29460,1
29535,1
29622,1
29740,1
29744,1
29773,1
29816,1
30036,1
30125,1
30149,1
30557,1
30565,1
30581,1
30699,1
30821,1
30880,1
31049,1
31053,1
31087,1
31091,1
31091,1
31129,1
31157,1
31210,1
31219,1
31301,1
31318,1
31335,1
31378,1
31463,1
31508,1
31705,1
31729,1
31747,1
31863,1
31870,1
31872,1
31902,1
31907,1
32076,1
32323,1
32369,1
32430,1
32433,1
32499,1
32550,1
32600,1
32749,1
32785,1
32800,1
32917,1
32996,1
33024,1
33047,1
33098,1
33180,1
33194,1
33195,1
33210,1
33288,1
33320,1
33357,1
33533,1
33663,1
33670,1
33729,1
33831,1
33931,1
34066,1
34091,1
34275,1
34520,1
34735,1
34739,1
34848,1
34904,1
34959,1
34978,1
35121,1
35165,1
35209,1
35237,1
35295,1
35338,1
35476,1
35503,1
35683,1
35825,1
35830,1
35877,1
35893,1
35899,1
35907,1
35945,1
35979,1
36007,1
36053,1
36089,1
36146,1
36193,1
36324,1
36356,1
36376,1
36376,1
36447,1
36717,1
36937,1
36950,1
37018,1
37055,1
37065,1
37215,1
37223,1
37259,1
37305,1
37384,1
37506,1
37532,1
37596,1
37599,1
37699,1
37755,1
37870,1
37916,1
37968,1
37987,1
38068,1
38106,1
38129,1
38190,1
38309,1
38477,1
38477,1
38477,1
38477,1
38477,1
38479,1
38496,1
38627,1
38712,1
38741,1
38750,1
38822,1
38845,1
38868,1
38895,1
38904,1
39111,1
39199,1
39222,1
39228,1
39239,1
39464,1
39581,1
39864,1
39885,1
39924,1
39996,1
40011,1
40135,1
40229,1
40234,1
40397,1
40397,1
40456,1
40628,1
40685,1
40745,1
40764,1
40880,1
40918,1
40921,1
41061,1
41174,1
41194,1
41256,1
41280,1
41330,1
41360,1
41360,1
41444,1
41626,1
41658,1
41705,1
41718,1
41819,1
41981,1
42008,1
42138,1
42261,1
42311,1
42325,1
42391,1
42492,1
42921,1
42944,1
43214,1
43253,1
43253,1
43389,1
43456,1
43456,1
43810,1
43870,1
43897,1
43938,1
44068,1
44117,1
44165,1
44210,1
44235,1
44423,1
44432,1
44506,1
44512,1
44532,1
44590,1
44602,1
44766,1
44927,1
44929,1
44944,1
45096,1
45099,1
45102,1
45173,1
45416,1
45529,1
45549,1
45849,1
45883,1
46058,1
46062,1
46095,1
46107,1
46180,1
46191,1
46191,1
46627,1
46766,1
46926,1
46926,1
46944,1
46987,1
47031,1
47150,1
47301,1
47490,1
47510,1
47596,1
47682,1
47695,1
47828,1
47936,1
47966,1
48026,1
48140,1
48193,1
48193,1
48251,1
48307,1
48358,1
48385,1
48546,1
48568,1
48655,1
48708,1
48828,1
48836,1
48886,1
48995,1
49061,1
49338,1
49474,1
49583,1
49645,1
49963,1
50201,1
50260,1
50655,1
50744,1
50798,1
50860,1
50990,1
51283,1
51374,1
51405,1
51452,1
51527,1
51537,1
51584,1
51721,1
52103,1
52148,1
52187,1
52198,1
52259,1
52493,1
52574,1
52674,1
52674,1
52783,1
52800,1
52830,1
52831,1
52835,1
52906,1
52918,1
52977,1
52978,1
53018,1
53328,1
53432,1
53479,1
53487,1
53487,1
53548,1
53572,1
53600,1
53610,1
53636,1
53754,1
53797,1
53959,1
53977,1
54101,1
54190,1
54318,1
54352,1
54362,1
54526,1
54540,1
54542,1
54542,1
54569,1
54716,1
54741,1
54742,1
54814,1
54901,1
54984,1
55004,1
55074,1
55076,1
55096,1
55260,1
55409,1
55473,1
55668,1
55703,1
55893,1
56071,1
56399,1
56572,1
56602,1
56780,1
56910,1
56919,1
56925,1
56944,1
56948,1
57045,1
57171,1
57195,1
57238,1
57244,1
57299,1
57441,1
57450,1
57599,1
57649,1
57675,1
57697,1
57823,1
57852,1
58001,1
58003,1
58028,1
58061,1
58188,1
58220,1
58261,1
58455,1
58467,1
58496,1
58505,1
58535,1
58713,1
58880,1
58992,1
59014,1
59023,1
59037,1
59058,1
59079,1
59206,1
59379,1
59472,1
59559,1
59592,1
59699,1
59701,1
59772,1
59863,1
59981,1
60527,1
60618,1
60652,1
60658,1
60685,1
60685,1
60686,1
60717,1
60883,1
60923,1
60923,1
60978,1
61090,1
61269,1
61270,1
61314,1
61404,1
61443,1
61459,1
61459,1
61573,1
61601,1
61701,1
61824,1
61992,1
62054,1
62266,1
62431,1
62445,1
62555,1
62731,1
62752,1
62782,1
62801,1
62817,1
62945,1
62976,1
62994,1
63219,1
63265,1
63275,1
63387,1
63400,1
63415,1
63547,1
63547,1
63601,1
63610,1
63830,1
63863,1
63876,1
64042,1
64071,1
64106,1
64132,1
64345,1
64395,1
64458,1
64468,1
64485,1
64554,1
64624,1
64630,1
64685,1
64819,1
64832,1
64982,1
65234,1
65292,1
65465,1
65502,1
65508,1
65548,1
65616,1
65695,1
65717,1
65910,1
65946,1
66366,1
66395,1
66436,1
66882,1
66893,1
67017,1
67090,1
67157,1
67269,1
67368,1
67394,1
67463,1
67476,1
67551,1
67584,1
67985,1
68360,1
68395,1
68443,1
68446,1
68484,1
68545,1
68591,1
68607,1
68607,1
68607,1
68607,1
68693,1
68706,1
68753,1
68782,1
68853,1
68988,1
69052,1
69156,1
69186,1
69186,1
69188,1
69376,1
69429,1
69544,1
69671,1
69671,1
69720,1
69787,1
69804,1
69841,1
69874,1
69889,1
69967,1
70015,1
70081,1
70187,1
70187,1
70282,1
70298,1
70358,1
70409,1
70508,1
70560,1
70565,1
70669,1
70714,1
70916,1
70929,1
71238,1
71257,1
71500,1
71509,1
71598,1
71729,1
71836,1
72073,1
72127,1
72171,1
72245,1
72338,1
72360,1
72434,1
72511,1
72556,1
72609,1
72642,1
72688,1
72761,1
72943,1
73027,1
73079,1
73113,1
73119,1
73137,1
73370,1
73473,1
73475,1
73511,1
73665,1
73947,1
74037,1
74053,1
74111,1
74253,1
74258,1
74289,1
74322,1
74332,1
74340,1
74372,1
74470,1
74483,1
74705,1
74730,1
74870,1
74974,1
74999,1
75127,1
75211,1
75237,1
75247,1
75283,1
75332,1
75476,1
75516,1
75532,1
75564,1
75564,1
75736,1
75753,1
75762,1
75764,1
75783,1
75796,1
75859,1
75887,1
76008,1
76077,1
76098,1
76132,1
76132,1
76230,1
76233,1
76279,1
76356,1
76494,1
76524,1
76812,1
76817,1
76817,1
76979,1
77229,1
77324,1
77419,1
77653,1
77712,1
77817,1
77881,1
77936,1
78145,1
78173,1
78231,1
78244,1
78255,1
78344,1
78350,1
78352,1
78452,1
78477,1
78496,1
78612,1
78663,1
78670,1
78779,1
78784,1
78786,1
78786,1
78865,1
78971,1
78987,1
78987,1
79043,1
79107,1
79283,1
79400,1
79430,1
79441,1
79512,1
79525,1
79548,1
79633,1
79640,1
79723,1
79845,1
79893,1
79905,1
80171,1
80187,1
80294,1
80399,1
80411,1
80448,1
80454,1
80585,1
80697,1
80723,1
80730,1
80743,1
80825,1
80857,1
80919,1
80980,1
81099,1
81181,1
